Topic,Homework,Completed
Review [Syllabus](https://svenbuerki.github.io/Genomics-Bioinformatics/Chapters.html#2_Syllabus) and start [Chapter 1](https://svenbuerki.github.io/Genomics-Bioinformatics/Chapters.html#3_Chapter_1),No homework,✓
Complete [Chapter 1](https://svenbuerki.github.io/Genomics-Bioinformatics/Chapters.html#3_Chapter_1) and start [Chapter 2](https://svenbuerki.github.io/Genomics-Bioinformatics/Chapters.html#4_Chapter_2),Review Syllabus and read giant panda [publication](http://dx.doi.org/10.1038/nature08696) using the following resources: [How to read a scientific paper](https://www.science.org/content/article/how-read-scientific-paper) and [How to (seriously) read a scientific paper](https://www.science.org/content/article/how-seriously-read-scientific-paper),✓
"Chapters 1, 2 and [Mini-Report 1](https://svenbuerki.github.io/Genomics-Bioinformatics/Mini_reports.html#mini1)",Review material from Chapter 1 (up to slide 26) and watch the [video](https://www.youtube.com/watch?v=e2G5zx-OJIw) on Sanger sequencing,✓
[Chapter 2](https://svenbuerki.github.io/Genomics-Bioinformatics/Chapters.html#4_Chapter_2) and [Mini-Report 3](https://svenbuerki.github.io/Genomics-Bioinformatics/Mini_reports.html#4_Mini-Report_3_%E2%80%94_DNA-based_Species_Identification_and_Phylogenetic_Inference),Review material from Chapter 2 (up to slide 12) and read [Ellestad et al. (2022)](https://bsapubs.onlinelibrary.wiley.com/doi/full/10.1002/ajb2.16024),✓
Guest lecture and [Mini-Report 2](https://svenbuerki.github.io/Genomics-Bioinformatics/Mini_reports.html#mini2),Work on Mini-Report 2,✓
[Chapter 2 (lecture)](https://svenbuerki.github.io/Genomics-Bioinformatics/Chapters.html#45_Lecture) (starting at slide 33) and [Chapter 3 (lecture)](https://svenbuerki.github.io/Genomics-Bioinformatics/Chapters.html#55_Lecture) and [Mini-Report 3 - PART 1](https://svenbuerki.github.io/Genomics-Bioinformatics/Mini_reports.html#mini3),"Study the **Learning Outcomes** and **Structure** sections of [Mini-Report 3](https://svenbuerki.github.io/Genomics-Bioinformatics/Mini_reports.html#mini3), and familiarize yourself with the content of **Part 1**. Install [FinchTV](https://digitalworldbiology.com/FinchTV) on your computer.",
[Mini-Report 3 - PART 2](https://svenbuerki.github.io/Genomics-Bioinformatics/Mini_reports.html#mini3),TBD,
Mini-Report 3 - Work on [Reports](https://svenbuerki.github.io/Genomics-Bioinformatics/Mini_reports.html#46_Writing_your_report) and Q&A,TBD,
[Group accounts & Introduction to Linux OS](https://svenbuerki.github.io/Genomics-Bioinformatics/Tutorials.html) and [Chapter 4 - Introduction](https://svenbuerki.github.io/Genomics-Bioinformatics/Chapters.html#62_Download_presentations) and [Chapter 4 - PART 1](https://svenbuerki.github.io/Genomics-Bioinformatics/Chapters.html#6_Chapter_4),TBD,
[Chapter 4 - PART 1](https://svenbuerki.github.io/Genomics-Bioinformatics/Chapters.html#6_Chapter_4),TBD,
[Chapter 4 - PARTS 2-3](https://svenbuerki.github.io/Genomics-Bioinformatics/Chapters.html#6_Chapter_4),TBD,
Complete [Chapter 4](https://svenbuerki.github.io/Genomics-Bioinformatics/Chapters.html#6_Chapter_4) and Introduction to [group lab report](https://svenbuerki.github.io/Genomics-Bioinformatics/Mining_draft_genome.html),TBD,
[Mining genome](https://svenbuerki.github.io/Genomics-Bioinformatics/Mining_draft_genome.html): Modules 1 to 4,TBD,
Mining genome: Group work,TBD,
Mining genome - Oral group presentations,TBD,
